,Sector,Cari_Oran,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Fiyat_Satıs_Oranı
0,"İMALAT / GIDA, İÇECEK VE TÜTÜN",1.9135410753716569,8.945923093727902,0.8516849244302395,23.791999999999998,"{""varlık_getirisi"": 13.040000000000001, ""yatırılan_sermayenin_getirisi"": 20.432666666666673, ""brüt_kar_marjı"": 18.99233333333333, ""faliyet_kar_marjı"": 7.7909999999999995, ""favök_marjı"": 9.890999999999996, ""net_marj"": 46.832}",18.877199999999995
1,MALİ KURULUŞLAR / ARACI KURUMLAR,1.1064167717366504,12.861840314683988,8.543296106722144,40.85,"{""varlık_getirisi"": 5.42, ""yatırılan_sermayenin_getirisi"": 40.62, ""brüt_kar_marjı"": 99.02, ""faliyet_kar_marjı"": 59.35, ""favök_marjı"": 60.34, ""net_marj"": 50.01}",5.69
2,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,2.790583343969393,20.535542506587973,1.060389862344873,48.194,"{""varlık_getirisi"": 22.482222222222227, ""yatırılan_sermayenin_getirisi"": 19.661944444444448, ""brüt_kar_marjı"": 16.857837837837835, ""faliyet_kar_marjı"": 13.721944444444446, ""favök_marjı"": 16.35333333333334, ""net_marj"": 25.80388888888888}",21.05257142857143
3,İMALAT / DİĞER İMALAT SANAYİİ,1.0566475889744096,9.27151553386981,1.1072725001515078,28.24,"{""varlık_getirisi"": 4.94, ""yatırılan_sermayenin_getirisi"": 24.35, ""brüt_kar_marjı"": 50.13, ""faliyet_kar_marjı"": 17.96, ""favök_marjı"": 22.22, ""net_marj"": -4.15}",70.89
4,GAYRİMENKUL FAALİYETLERİ / GAYRİMENKUL FAALİYETLERİ,3.7814454751262,3.503435163558436,0.1651082130895685,21.796666666666667,"{""varlık_getirisi"": 18.173333333333336, ""yatırılan_sermayenin_getirisi"": 21.58, ""brüt_kar_marjı"": -7.31, ""faliyet_kar_marjı"": -87.2, ""favök_marjı"": -55.75, ""net_marj"": 40.025}",84.42666666666666
5,İMALAT / TAŞ VE TOPRAĞA DAYALI,1.4930407829278567,6.303167181785948,1.0298197733818601,43.935,"{""varlık_getirisi"": 19.98, ""yatırılan_sermayenin_getirisi"": 35.34238095238095, ""brüt_kar_marjı"": 20.016363636363636, ""faliyet_kar_marjı"": 12.82909090909091, ""favök_marjı"": 14.72, ""net_marj"": 33.87409090909091}",51.895
6,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,2.724468727581947,1679.504334451659,0.45330169576607343,42.61638888888889,"{""varlık_getirisi"": 17.460270270270268, ""yatırılan_sermayenin_getirisi"": 37.12333333333334, ""brüt_kar_marjı"": 31.358648648648646, ""faliyet_kar_marjı"": 22.431025641025645, ""favök_marjı"": 26.910263157894732, ""net_marj"": 77.4720512820513}",12.887027027027024
7,MALİ KURULUŞLAR / SİGORTA ŞİRKETLERİ,,,,,,
8,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,1.600440623573342,7.025471009925781,0.652518839823481,30.651666666666667,"{""varlık_getirisi"": 15.858888888888892, ""yatırılan_sermayenin_getirisi"": 22.538888888888884, ""brüt_kar_marjı"": 25.983684210526317, ""faliyet_kar_marjı"": 65.22157894736841, ""favök_marjı"": 78.09473684210528, ""net_marj"": 55.18684210526315}",54.5529411764706
9,MALİ KURULUŞLAR / BANKALAR,,,,,,
10,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,3.2018745430657507,114.84531922011637,0.15515472963610905,75.75696969696972,"{""varlık_getirisi"": 52.000588235294124, ""yatırılan_sermayenin_getirisi"": 69.71909090909092, ""brüt_kar_marjı"": 60.69093750000001, ""faliyet_kar_marjı"": 27.161875000000006, ""favök_marjı"": 27.09290322580645, ""net_marj"": 136.61999999999998}",4.6728125
11,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ",1.8493279393971054,4.778336357777359,0.7642010703663243,37.158500000000004,"{""varlık_getirisi"": 13.954761904761906, ""yatırılan_sermayenin_getirisi"": 30.50789473684211, ""brüt_kar_marjı"": 23.03, ""faliyet_kar_marjı"": 4.804166666666667, ""favök_marjı"": 11.954545454545455, ""net_marj"": 18.70565217391304}",22.39
12,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI,1.7468267748687154,4.722772502934908,1.0497288320834695,46.32733333333335,"{""varlık_getirisi"": 18.297666666666665, ""yatırılan_sermayenin_getirisi"": 37.31033333333333, ""brüt_kar_marjı"": 22.789677419354845, ""faliyet_kar_marjı"": 3.9403225806451605, ""favök_marjı"": 6.542903225806449, ""net_marj"": 10.75290322580645}",38.38821428571429
